County,Turnout,State,Precincts,Votes,Republican,Democrat,Green,Libertarian,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino),African American,Native American,Asian American,Other Race,Latino,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Sire Homogeneity,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Greene,43.6,Tennessee,17,23491,78.92,17.93,0.64,2.04,23.4,76.6,14,5.6,65.3,22902.99,94.1,2.05,0.2,0.35,1,2.35,29.75,14.95,67264,29.2,19.45,0.425,25.85,24.3,16.8,21.75,0.6,10.75,25.8,0.88656975,41.8,5.5,4.1,0.09,48.8,0.353,0.286,0.354,0.135,174.5,73.3,0.182,0.109,372.68,4.23,88.9,5.9
Bulloch,43.7,Georgia,16,24151,59.94,36.49,0,3.57,14.8,85.2,25.2,10.8,84.2,16850.75,66,27.9,0.15,1.35,1.5,3.1,26.65,12.25,68291,44.9,27.15,0.478,23.2,31.25,18.9,23.55,0.9,11.65,13.8,0.5148115,25.9,3.7,3.6,0.09,26.3,0.379,0.194,0.33,0.108,1221.2,290.3,0.258,0.104,370.54,2.61,53,10.1
Sunflower,43.7,Mississippi,17,9406,29.43,69.74,0.21,0.29,30.2,69.8,13,3.5,75.75,19560.67,25.5,72.05,0.1,0.3,0.45,1.6,48.3,32.85,30027,73.7,34.15,0.498,44.1,25.7,18.35,25.45,3.7,6.3,20.45,0.5844315,33.2,4.4,3.6,0.15,90.5,0.64,0.207,0.439,0.138,1198.1,721.1,0.215,0.146,503.2,12.92,81.9,17.1
Corson,43.7,South Dakota,12,1175,50.04,45.53,0,2.89,16.4,83.6,14.3,3.6,72.05,15833.67,30.85,0.2,63.35,0.2,2.4,3.05,54,15.15,4098,59.9,36.8,0.509,48.2,42.8,17.05,18.75,5.35,8.3,7.75,0.49800875,29.6,4.8,4.3,0.06,94,0.436,0.321,0.415,0.157,2013.9,,0.201,0.083,0,,251.9,
Santa Cruz,43.8,California,266,113509,17.76,75.05,3.36,3.37,15.9,84.1,37.3,13.9,80,28229.17,61.25,0.95,0.35,3.9,3.05,30.5,15.35,7.1,256890,55.2,12.7,0.467,14.65,40.65,17.35,21.75,3.85,8.55,7.85,0.470735,36.6,3.4,3.7,0.06,26.4,0.298,0.101,0.201,0.06,281.5,191.1,0.181,0.111,474.09,3.24,52.4,4.4
Harrison,43.8,Mississippi,59,62076,63.97,33.31,0.52,1.91,16.5,83.5,20,7.4,69.55,24824.85,67.6,22,0.4,2.9,2.5,4.6,25,9.6,184003,37,15.05,0.444,20.8,28.7,22.9,25,0.25,13,10.2,0.508974,35.8,4,5.1,0.1,59.7,0.433,0.27,0.342,0.121,579.5,354.9,0.225,0.086,250.75,8.6,86,9.1
Scurry,43.8,Texas,12,5261,83.69,13.93,0.42,1.96,25.8,74.2,16.3,4,73.65,22949.09,58.35,5.15,0.3,0.55,0.7,34.95,21.8,9.75,16457,46.2,16.45,0.501,22.15,29.5,14.35,19.7,0.6,20.7,15.25,0.465363,37.6,2.5,,0.11,92.5,0.338,,0.295,0.09,413.7,56.5,0.247,0.043,693.78,,71.2,
Monongalia,43.8,West Virginia,41,35733,51.15,40.77,2.26,5.06,12.8,87.2,35.8,18.3,83.35,18607.94,90.25,3.5,0.15,2.7,1.7,1.7,17.25,8.25,92026,43.1,21.2,0.517,14.15,39.65,18.85,23.05,0.2,9.85,8.45,0.8170405,29.3,4,4.2,0.08,14.2,0.249,0.175,0.282,0.095,430.3,103,0.17,0.049,365.04,,48.6,6.6
Weakley,43.9,Tennessee,10,12127,74.22,22.84,0.51,1.81,18,82,18.4,6.7,79.9,19645.05,87.8,7.45,0.25,1.55,1.15,1.85,31.65,16.5,34205,29.7,20.45,0.485,24.85,28.35,17.35,23.95,1.55,7.35,21.5,0.77715525,37.4,4.5,3.1,0.08,29,0.34,0.254,0.295,0.109,540.3,39.5,0.178,0.118,308.67,,73.5,
Bradley,44,Arkansas,14,3652,59.23,36.06,0.44,2,30.6,69.4,12.7,3.6,74.45,20262.51,58.6,27.95,0.1,0.1,0.85,12.3,53.1,19.15,11737,59.3,32.65,0.478,40.3,24.75,12.35,19,4.9,8.25,30.75,0.4367195,40.1,3.5,3.7,0.11,73.1,0.406,0.141,0.34,0.14,574.8,100.9,0.256,0.101,239.51,,72.2,
Bell,44,Kentucky,30,9718,79.89,17.7,0.43,1.48,34,66,11.3,6.4,71.45,20382.29,95,2.7,0.1,0.2,1.15,0.8,46.65,20.55,28892,30.7,31.1,0.49,37.65,29.05,18.25,23,0.45,15,14.3,0.90343025,40.5,7.6,6.1,0.1,70.3,0.381,0.264,0.321,0.147,222.8,51.8,0.185,0.133,154.78,5.93,134.8,11.2
Clinton,44,New York,54,28378,46.45,47.38,1.99,4.18,15.8,84.2,21.7,9.5,78.9,25723.08,91.4,3.35,0.25,0.95,1.4,2.6,19.95,11.25,81941,44,13.2,0.419,16.85,31.65,20.25,24.5,1.1,8.8,13.7,0.83748675,38.1,3.3,3.6,0.08,20.5,0.327,0.161,0.296,0.083,257.5,393.2,0.108,0.099,119.14,,45.9,7.1
McCurtain,44,Oklahoma,30,10709,80.7,16.8,0,2.5,21.1,78.9,12.3,4.6,74.55,20948.48,67.2,8.65,14.6,0.25,4.8,4.55,47.05,16.1,33301,48.8,27.5,0.464,39.8,26.45,19.7,20.4,2.85,12.05,18.4,0.48476275,38.2,4.7,4,0.08,82.8,0.422,0.228,0.357,0.121,334.4,56.9,0.25,0.088,380.87,12.06,131,7.9
Grays Harbor,44,Washington,20,26736,49.63,42.56,1.9,4.98,15.6,84.4,14.5,4.9,71.9,25031.94,82.5,0.8,3.95,1.3,3.45,7.9,27,8.45,71957,44.4,16,0.429,21.95,23.7,22.45,22.2,3.2,12.45,16.05,0.6898495,41.6,4.5,4.3,0.06,46,0.381,0.228,0.327,0.13,187.5,83.1,0.21,0.125,196.36,2.8,77.7,4.8
Braxton,44,West Virginia,18,5063,69.44,25.97,0.93,3.1,26.1,73.9,9.5,3.1,66.95,22847.85,97.55,0.6,0.35,0.25,0.85,0.45,29.8,13.55,14538,38.7,20.75,0.432,30.15,20.7,20.4,20.5,1.85,21.15,15.4,0.95174725,42.6,4.7,3.4,0.09,54,0.206,0.24,0.34,0.144,82.8,95.9,0.207,0.095,210.11,,83.8,
Vernon,44.1,Louisiana,73,16633,80.99,16.02,0.43,1.59,15.5,84.5,15.6,5,60.4,25287.65,71.8,13.65,1.25,1.8,3.65,7.8,24.8,11.9,49904,40.4,15.8,0.404,22.95,27.15,19.75,24.95,1,15.35,11.75,0.54205275,29.8,5.2,3.5,0.09,71.2,0.286,0.267,0.375,0.113,683.2,148.8,0.186,0.065,364.81,5.35,60.4,5.9
Jackson,44.1,Mississippi,31,45465,68.63,28.78,0.33,1.8,15.4,84.6,18.4,6,75.1,26936.54,70.45,21.7,0.3,2.05,1.5,4.05,23.85,9.45,135690,49.5,14.8,0.441,21.45,29.35,18.8,23.35,0.25,14.15,14.15,0.54570375,37,4.1,4.3,0.1,55,0.373,0.266,0.331,0.129,419.6,206.9,0.199,0.098,355.93,8.65,101.8,7.7
Hardeman,44.1,Tennessee,13,9242,53.15,45.16,0.32,0.91,29.7,70.3,10.7,4.2,70,21950.29,56.5,40.15,0.25,0.9,0.85,1.4,35.5,17.65,27506,30,19.65,0.455,24.2,25.85,21.55,19.45,1.75,9.25,22.15,0.48078275,39.3,4,2.6,0.12,65.5,0.457,0.273,0.369,0.126,700.6,188.3,0.163,0.11,538.39,13.4,65.1,12
Sevier,44.2,Arkansas,17,4570,71.79,23.52,0.44,1.82,31.2,68.8,9.3,2.6,69.1,19445.44,61.8,3.9,1.85,0.6,1.85,30.05,36,13,16787,40.1,21.25,0.409,29.9,20.7,12.5,16.55,6.25,12.25,31.75,0.47446575,34.2,4.2,3.7,0.07,79.7,0.344,0.224,0.379,0.138,537.8,,0.31,0.078,217.99,9.53,83,10.3
Johnson,44.2,Tennessee,10,6556,82.37,15.07,0.59,1.56,30.9,69.1,10.1,4,64.85,20881.48,95.1,2.1,0.15,0.25,1.1,1.25,47.65,14.7,18131,30.1,24.25,0.431,38.05,24.3,15.55,20.7,1.1,15.65,22.75,0.90512775,42.7,5,3,0.1,60.8,0.27,0.28,0.312,0.131,186.5,94.5,0.176,0.098,499.21,,86.9,
De Witt,44.2,Texas,11,6822,80.77,17.02,0.4,1.82,24.5,75.5,12.1,4.7,73.35,22637.28,57.7,9.95,0.15,0.25,0.75,31.2,33.95,15.85,19959,51,16.5,0.444,22.65,24.25,18.5,22.05,1.55,15.4,18.3,0.440238,43,,,0.07,63.1,0.366,0.321,0.281,0.107,395,75.8,0.24,0.05,184.41,,63.9,
Hartley,44.2,Texas,7,1945,88.79,8.84,0.15,2.21,21.6,78.4,19.8,4.9,81.95,32121.78,70.35,7.35,0.35,0.35,0.7,20.95,14.7,8.65,5575,32.4,7.6,0.437,10.9,44.2,13,20.3,5.5,6.95,9.95,0.54427825,39.9,,,0.06,40.6,0.137,,0.315,0.102,,,0.237,0.044,207.12,,,
Zavala,44.2,Texas,5,3390,20.41,77.67,0.47,1.45,42.3,57.7,7.7,2.5,72.25,14775.09,7.85,0.15,0.05,0,0.1,91.85,65.75,22.3,11648,49.1,40.65,0.482,61.95,17.6,32.3,21,5.45,12.15,11.45,0.849808,31,,,0.1,104,0.433,,0.29,0.093,455.7,108,0.285,0.141,430.61,,75.5,
Tift,44.3,Georgia,12,12796,67.83,30.42,0,1.75,24.1,75.9,16.3,7.1,75.6,21574.62,59.15,28.15,0.1,1.4,0.75,10.5,38.65,14.6,41025,44.1,23.8,0.449,34.55,28.05,15.55,25.5,4.7,9.4,16.8,0.44039275,34.3,3.6,3.6,0.11,68.7,0.424,0.166,0.32,0.134,622.3,280.3,0.271,0.102,698.11,11.94,64.4,7.3
Otero,44.4,New Mexico,41,19791,59.4,30.48,0.83,8,15,85,17.7,6.9,69.25,21109.57,52.6,3.8,5.7,1.25,2,34.6,31.55,13.45,63501,38.2,19.45,0.418,26.65,27.2,22.75,25.6,0.85,14.5,9.1,0.40164125,36.5,3.9,3.1,0.09,59.9,0.367,0.24,0.245,0.098,429.2,87.8,0.25,0.061,377.66,7.3,82.3,7.7
Crittenden,44.5,Arkansas,25,15894,43.75,52.65,0.6,1.52,23.7,76.3,14.2,3.4,75.65,25154.55,46.35,49.45,0.15,0.55,1.45,2.05,41.5,16,51550,51.3,26.8,0.466,40.1,26.75,17,26.05,0.75,10.45,18.95,0.4600255,33.3,5,4.2,0.13,89.2,0.586,0.236,0.381,0.14,1377.5,570,0.183,0.112,1723.72,14.13,68.3,15.2
Morgan,44.5,Kentucky,12,4770,76.06,21.09,0.55,1.32,31.2,68.8,11.8,5.6,69.85,18783.01,94.65,4.1,0.1,0.2,0.4,0.55,47.5,14.3,14063,29.4,23.25,0.542,35.5,25.5,16.95,24.7,0.5,15.75,16.7,0.8975945,38.7,5.6,5.7,0.08,45.7,0.319,0.376,0.364,0.138,43,110.9,0.196,0.114,,,92.5,
Coconino,44.6,Arizona,71,44929,36.89,56.33,2.07,4.71,13,87,31.1,12.8,76.65,23125.07,54.8,1.1,27.45,1.25,2.35,13,21.6,13.6,130866,46.4,18,0.443,21.5,32.7,21.3,24.5,0.3,10.05,11.1,0.39338375,30.8,3.1,3.1,0.08,36,0.382,0.152,0.233,0.073,591,124,0.226,0.081,378.06,6.37,90.3,6
Bronx,44.6,New York,959,358857,9.59,88.73,1.1,0.58,31.2,68.8,17.6,6.5,77.05,25785.72,11.85,30.35,0.2,3.35,1.85,52.35,39.9,21.9,1383318,54,28.15,0.482,39.85,24.6,30.35,25.8,0.2,7.45,11.65,0.38167525,32.6,4.1,4,0.1,43.7,0.639,0.184,0.284,0.103,1295.8,2084,0.165,0.127,590.6,10.19,39.8,6.7
Bledsoe,44.6,Tennessee,12,4650,77.87,19.27,0.39,2.04,28.5,71.5,8.8,3.9,79.1,21106.01,92.9,3.85,0.25,0.15,1.1,1.75,53.2,17.4,12908,65.7,23,0.393,36,21.25,18,22.95,3.45,13.55,20.7,0.864959,41.2,8.4,4.4,0.07,48.8,0.261,0.386,0.318,0.131,248.7,71.7,0.212,0.099,107.32,,83.4,
Baldwin,44.7,Georgia,14,16075,47.84,49.55,0,2.61,22,78,18.4,8.1,77,21731.16,53.75,42.3,0.15,1.25,0.85,1.75,29.85,12.15,45986,39.4,23.9,0.457,28.6,30.5,22.2,22.65,0.2,11.2,13.3,0.46837225,34.4,5,4.7,0.11,32.3,0.553,0.241,0.32,0.113,709.2,594.6,0.191,0.12,633.4,7.65,49.5,8.3
Isabella,44.7,Michigan,29,25344,48.68,45,1.56,4.31,10.8,89.2,25.8,11.1,85.95,11992.97,88,2.4,2.7,1.7,2.25,2.95,23.6,6,68481,49.4,29.35,0.477,21.25,27.45,28.25,26.5,1,7.2,9.6,0.7773705,25.1,3,3,0.07,13.5,0.336,0.199,0.311,0.078,359.7,53.7,0.162,0.067,167.86,,36,7.4
Greensville,44.7,Virginia,9,4363,39.81,58.63,0.14,1.15,30.3,69.7,5.5,1.5,60.55,20747.06,37.6,60.1,0.2,0.3,0.45,1.4,40.25,14.6,12079,47.3,15.9,0.406,29.7,20.05,24.5,20,2.2,12.25,21,0.50280625,40,3.5,3.4,0.13,87.1,0.436,0.187,0.34,0.117,553.2,875.7,0.141,0.093,139.04,,60.7,
Beckham,44.8,Oklahoma,13,7529,83.5,12.72,0,3.77,19.7,80.3,14.7,4,67.9,24294.54,80.9,3.1,2.55,0.6,3.2,9.65,25.55,13.15,21193,36.8,16.1,0.434,26.75,26.6,17.3,21.75,1.25,18.1,15.1,0.6664645,34.9,4.6,4.5,0.09,93,0.357,0.272,0.365,0.104,197.4,44.1,0.218,0.026,198.74,,111.7,
El Paso,44.8,Texas,192,210458,25.93,69.14,1.38,3.55,29,71,19.3,6.4,78.15,20581.27,13.5,2.55,0.3,1,0.8,81.75,39.4,21.65,765021,42.5,26.1,0.47,36.2,28.6,19.85,27.5,0.4,9.8,13.85,0.6873545,31.2,4.4,3.2,0.09,68.7,0.366,0.152,0.234,0.084,551.7,252.4,0.309,0.093,416.96,2.83,41.2,4.3
Douglas,44.8,Washington,10,11467,62.86,31.39,0.93,4.04,20.7,79.3,17.3,5.9,73.8,23190.09,69.65,0.3,0.75,0.7,1.8,26.85,23.75,3.8,37288,38.4,14.3,0.399,22,23.95,19.4,25.05,9.75,9.75,12.15,0.55764275,36.6,4,3,0.06,45.9,0.303,0.151,0.288,0.098,292.5,29.5,0.229,0.075,158.43,,58.7,6
Haskell,44.9,Texas,11,1765,79.49,17.79,0.34,2.38,22.1,77.9,11.7,3.5,68.5,19432.8,70.65,3.75,0.35,0.25,1,23.95,25.35,13.2,5542,40.4,19.4,0.476,29.2,26.75,19.2,23.05,4.05,14.75,12.25,0.55802725,44.2,,,0.09,64.5,0.378,,0.284,0.115,267.2,197.4,0.269,0.056,128.96,,82.1,
Montgomery,45,Tennessee,29,57278,56.43,37.86,0.94,4.08,10,90,22.3,7,70.35,27717.65,68.6,18.95,0.5,2,3.15,6.85,23.8,10.25,162911,34.3,14.15,0.408,19.45,29.45,17.8,26.65,0.2,10.45,15.35,0.51261575,30.4,5.2,2.8,0.08,46.1,0.368,0.275,0.321,0.105,757.6,158.2,0.16,0.078,564.9,7.19,63.8,7.9
Rhea,45,Tennessee,12,10946,79.02,17.74,0.32,2.02,25.7,74.3,11.2,3.2,74,22195.48,92.35,1.95,0.3,0.35,1.65,3.35,29.55,12.1,31221,39.1,19.5,0.421,27.1,22.2,14,22.05,1.1,15.8,24.8,0.85464825,40,5.5,4.8,0.1,68.2,0.339,0.198,0.372,0.122,339.8,58.9,0.175,0.105,337.7,5.57,105.7,9.3
Lowndes,45.1,Georgia,11,36813,57.88,39.7,0,2.42,17.1,82.9,22.3,8.3,73.15,22158.76,57.9,34.55,0.3,1.3,2,3.95,26.25,14.15,105836,44.6,20.75,0.459,25.35,29.2,18.65,29.75,0.6,9.45,12.4,0.4567495,30.1,4.2,3.2,0.11,48.7,0.413,0.246,0.313,0.111,1242.3,437,0.243,0.087,307.92,6.12,46,13.5
Montgomery,45.1,Kansas,62,11623,72.84,22,1.76,3.4,13.6,86.4,18.6,5.9,76,23466.59,82.3,5.55,2.65,0.6,4.6,4.3,29.9,7.7,34876,36.7,15.2,0.42,23.8,28.5,19.55,20.45,0.7,8.95,21.85,0.6851125,40.2,3.6,3.4,0.09,55.5,0.355,0.229,0.338,0.122,326.5,50.4,0.163,0.077,434.53,4.44,89.1,10.1
Baltimore,45.1,Maryland,236,335017,39.11,56.55,1.37,2.98,11.2,88.8,35.2,14.8,78.65,37536.55,64.7,24.95,0.25,4.55,1.95,3.6,11.35,7.5,795863,55.6,7.95,0.438,9.9,41.6,14.95,27,0.1,7.65,8.75,0.484612,38.9,3.3,3.5,0.09,25.6,0.344,0.17,0.276,0.097,392.5,449.5,0.11,0.073,547.43,6.3,60.1,7.9
Ottawa,45.1,Oklahoma,17,10686,71.37,24.18,0,4.45,17.5,82.5,13.1,4.3,72.8,20196.61,68.95,0.9,17.8,0.5,7.35,4.5,30.45,13.7,31998,37.7,17.8,0.425,25,25.6,22.15,24.15,1.45,9.15,17.55,0.5146275,38.5,4.7,5,0.08,68.2,0.376,0.336,0.316,0.132,367.2,62.8,0.246,0.059,231.42,,98.8,7
Clay,45.1,South Dakota,11,5069,41.61,51.45,0,5.82,9.4,90.6,40.4,15.7,91.65,9519.84,90.5,0.95,3,2.1,1.7,1.7,17.25,6.2,13647,69.4,23.6,0.479,12.95,41.75,18.35,24.6,0.8,7.15,7.25,0.82103425,25,2.4,2.3,0.06,9.1,0.156,0.155,0.298,0.062,448.4,,0.164,0.04,36.11,,37.6,
Castro,45.1,Texas,9,1996,70.79,26.35,0.5,2.35,31.9,68.1,14.9,2.6,74.55,22134.54,40.05,2,0.2,0.3,0.8,56.7,43.45,11.4,7647,36.7,22.55,0.419,34.1,29.05,16.7,18.95,9.75,8.3,17.25,0.48236625,33.6,,,0.08,83.8,0.278,,0.296,0.1,209.5,,0.337,0.051,154.39,,71.4,
La Salle,45.1,Texas,7,2049,42.46,54.9,0.49,2.15,40.1,59.9,8.1,2.5,65.05,19782.23,15.75,1.5,0.2,0.7,0.55,81.35,17.65,25.3,6388,34.3,21.45,0.464,24.65,19.4,26.45,16.9,4,23.35,9.85,0.68689675,32,,,0.1,81.8,0.565,,0.289,0.086,185.7,119.6,0.28,0.043,146.59,,80.5,
Zapata,45.1,Texas,8,3134,32.8,65.6,0.51,1.08,43.3,56.7,9.6,2.9,71.5,14668.56,8.55,0.2,0.05,0.1,0.3,90.75,60.7,20.1,13789,69.4,39.5,0.514,53.35,26.45,23.8,16.2,1.15,20.15,12.35,0.83088075,29,4.3,1.8,0.09,116.6,0.386,,0.305,0.084,273.1,66,0.353,0.065,228.83,,48.5,
Greene,45.2,Arkansas,38,14560,73.48,20.99,0.67,2.75,19.1,80.9,12,3.8,77.05,23933.95,95.45,0.7,0.55,0.3,1.15,1.9,31.4,14,41140,58.8,17.25,0.409,23.55,23.95,14.8,22.7,1.3,11.75,25.5,0.91165175,37.3,4.2,3.3,0.07,65.5,0.297,0.177,0.378,0.149,367.5,92,0.183,0.088,290.34,6.31,83.3,8.8
Hempstead,45.2,Arkansas,24,7031,62.45,33.72,0.31,1.49,19.3,80.7,14.7,3.7,68.15,22326.55,56,29.2,0.35,0.2,1.35,12.9,35.45,10.1,22851,32.4,23.2,0.437,34.75,23.15,18.3,18.8,1.6,10.1,28.05,0.4157035,37.1,3.7,3.9,0.11,78.7,0.432,0.187,0.363,0.143,1095.8,145,0.237,0.072,521.18,7.52,76.5,
San Mateo,45.2,California,468,287499,18.69,76.38,1.59,3.02,11.5,88.5,44,17,81.05,42816.61,44,2.85,0.2,24.1,4.7,24.25,9.65,6.85,710168,60.3,7.1,0.467,9.35,42.95,16.65,25.5,0.5,6.95,7.45,0.3135125,39,3,3.2,0.07,21.3,0.229,0.105,0.2,0.072,269.7,223.8,0.133,0.067,252.54,3.71,37.1,4.3
Washington,45.2,New York,50,22401,57.01,36.78,2.46,3.76,14.1,85.9,16.8,7.3,75.5,26534.82,93.2,2.8,0.2,0.45,1.1,2.3,20.65,6.75,62851,54.1,11.7,0.391,17.65,27.9,18.05,22.75,1.55,11.2,18.55,0.87008225,41.2,3.7,3.1,0.08,30.9,0.31,0.281,0.283,0.1,239.1,325.2,0.114,0.078,129.67,,52,7
Ward,45.2,Texas,9,3413,74.45,22.85,0.29,2.4,29.6,70.4,10,2.8,72.55,26779.66,46.35,4.05,0.4,0.2,1.9,47.1,26.4,16.7,10477,24.5,15.8,0.431,18.45,22.85,21,21.25,0.2,20.15,14.55,0.4386945,36.5,,,0.11,81.4,0.451,,0.3,0.097,410.6,69.8,0.268,0.045,430.28,,72.3,
Davis,45.2,Utah,201,104661,44.89,21.57,0.56,3.74,5,95,33.8,10.1,77,30682.16,86.5,1.1,0.45,1.65,2.4,7.85,8.15,5.1,296490,39.6,6.25,0.384,7.5,38.45,13.25,28.45,0.1,8.8,10.85,0.75537675,28.7,3.1,3,0.07,23.8,0.156,0.063,0.247,0.063,239.9,53.9,0.12,0.053,106.59,1.2,48.1,4.3
Shasta,45.3,California,121,72554,65.59,28.21,1.59,4.21,11.9,88.1,20,6.4,76.6,26552.59,82.85,0.9,2.35,2.45,3.3,8.05,27.8,7.15,178305,41.4,15.95,0.453,22.5,31.95,19.25,28.1,1.25,10.5,9.1,0.695215,41.3,4.1,4.1,0.06,36.3,0.35,0.251,0.28,0.09,322.9,80.3,0.181,0.134,750.69,4.13,93.5,6
Dimmit,45.3,Texas,8,3225,30.2,67.38,0.65,1.77,39,61,12.6,2.6,70.15,18445.2,13.2,0.65,0.05,0.85,0.1,85.15,62.95,23.3,9914,28.3,36.8,0.45,51.3,23.9,26.45,21.8,2.25,14,11.55,0.742592,35.4,,,0.08,87.4,0.357,,0.306,0.108,573.2,74.6,0.271,0.051,471.24,,72.7,
Liberty,45.3,Texas,31,24155,78.06,20.08,0.35,1.51,26.8,73.2,8.8,2.5,71.65,27141.13,70.1,11.45,0.4,0.4,1.25,16.4,24.4,13.35,75292,37.9,15.6,0.413,22,23.5,15.8,22.45,0.6,19.6,18,0.5315955,35.9,3.9,6,0.08,67.7,0.286,0.319,0.319,0.095,304.4,337,0.273,0.088,401.59,7.65,98.3,5.7
Russell,45.4,Alabama,19,19136,48.13,50.05,0.36,1.47,23.1,76.9,11.9,3.4,69.9,22917.64,52.95,40.9,0.25,0.6,2.1,3.2,36.1,17.1,51488,36.1,22.55,0.429,33.65,21.9,19.7,28.85,1,12,16.6,0.4491585,36.4,5,5,0.11,57.4,0.478,0.239,0.365,0.132,760.5,375.3,0.177,0.091,461.94,13.71,88.3,12.1
Jefferson,45.4,Arkansas,202,25821,35.75,60.88,0.6,1.14,18.4,81.6,16.5,4.8,76.75,24226.27,42.75,53.25,0.3,0.95,1.25,1.55,39.05,13,78566,46.2,22.4,0.46,33.05,27.6,18.4,26.05,0.75,8.35,18.85,0.46680825,36.5,3.6,4.1,0.13,67.6,0.569,0.249,0.4,0.152,1316.8,588.9,0.169,0.094,1015.9,19.84,72.4,9.7
Ware,45.4,Georgia,12,12150,70.02,28.28,0,1.7,20.4,79.6,12.2,6.2,72.1,23820.66,66.3,28.55,0.3,0.75,0.95,3.2,35.2,10.25,35985,39.5,20.65,0.465,32.6,27.2,16.1,25.15,1,12.15,18.4,0.52225875,37.3,4.5,3.5,0.11,89.4,0.374,0.218,0.341,0.148,649.8,432.4,0.225,0.111,360.06,6.4,71.1,10.6
Cowley,45.4,Kansas,59,12171,65.86,28.23,2.17,3.74,13.5,86.5,19.5,6.5,77.25,22877.29,83.8,2.75,1.9,1.45,2.5,7.6,23.65,8.15,35183,38.4,14.85,0.415,22.15,26.65,18.05,20.95,0.95,12.95,20.4,0.7099725,38.5,3.4,3.1,0.07,50.2,0.357,0.18,0.342,0.111,452.1,42.7,0.147,0.057,356.88,,72.5,8.6
Elliott,45.4,Kentucky,7,2855,70.05,25.92,0.67,2.35,30.4,69.6,7.1,2.1,65.6,15762.38,95.55,3.25,0.05,0.05,0.3,0.8,79.65,27.1,8071,81.3,34.9,0.496,51.55,27.7,17.3,21.6,3.1,11.6,18.65,0.91411,39.3,5.2,4.7,0.12,69.9,0.42,0.314,0.36,0.113,77.9,,0.186,0.111,,,104.2,
Knott,45.4,Kentucky,30,5763,75.6,21.6,0.23,1.77,32.9,67.1,12.4,5.8,79.2,22842.43,97.7,0.65,0.05,0.15,0.75,0.75,46.35,16.5,16771,61.9,24.65,0.463,32.35,34,13.85,17.25,0.65,17.2,16.95,0.95468625,41.2,6.3,4.7,0.11,48.2,0.308,0.305,0.366,0.15,55.3,,0.173,0.132,19.42,,136.2,
West Feliciana,45.4,Louisiana,35,5798,58.47,38.75,0.29,1.67,34.9,65.1,12.8,4.3,77.15,23097.94,49.95,46.65,1.25,0.2,0.85,1.05,19.1,10.9,15379,68.1,11.6,0.462,15.7,30.7,22.8,21.4,0,14.7,10.5,0.46746525,40.9,3.7,,0.09,39.2,0.297,,0.349,0.13,200.5,885.6,0.172,0.075,277.57,,54.8,
Allegany,45.4,New York,37,17111,68.45,26.14,1.47,3.94,11.7,88.3,18.6,9.6,81,20614.26,95.5,1,0.25,1,1,1.25,25.3,9.4,49168,41,16.65,0.422,22.95,31.8,19.3,20.6,1.65,10.75,15.8,0.9124875,37.1,3.6,3.3,0.07,19.9,0.31,0.214,0.298,0.103,129.2,72.2,0.11,0.085,193.78,,57.4,7.1
Grainger,45.4,Tennessee,10,7985,82.88,14.45,0.34,1.58,32.1,67.9,7.3,2.5,69.25,21315.49,96.25,0.3,0.15,0.35,0.85,2.05,33.25,20.55,22603,28.9,18.05,0.446,22.85,21.15,15.75,19.35,0.85,13.85,29.05,0.92692225,41.3,4,,0.09,54.2,0.212,0.263,0.3,0.117,206.4,67.2,0.187,0.104,145.93,,96.4,
Grundy,45.4,Tennessee,13,4750,76.34,21.01,0.4,1.68,35.7,64.3,8,3.1,70.25,19149.54,93.15,0.4,0.5,0.1,4.95,1,54.35,16,13982,41.9,30.6,0.439,43.7,22.55,17.45,18.65,3.35,13,25.1,0.8702845,41,6.1,7.2,0.1,55.7,0.38,0.27,0.306,0.122,228.9,65.9,0.184,0.094,442.78,10.22,149.5,
Buena Vista,45.4,Virginia,2,2395,59.79,28.94,0.54,3.47,27.2,72.8,16.5,6.8,73.65,23668.85,90.65,5.4,0.7,0.2,1.55,1.5,38.05,5.95,6467,84.2,20.15,0.398,28.95,26.55,16.85,21.35,2.2,8.8,24.25,0.8251765,38.5,,,0.06,23.6,0.409,,0.291,0.101,316.5,,0.167,0.073,138.27,,,
