County,Turnout,State,Precincts,Votes,Republican,Democrat,Green,Libertarian,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino),African American,Native American,Asian American,Other Race,Latino,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Sire Homogeneity,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Poinsett,28.8,Arkansas,9,5332,59.06,35.22,0.64,1.99,27.2,72.8,8.8,2.5,73.25,21229.68,88.9,7.25,0.3,0.15,1.2,2.25,37,18,24724,47,25.2,0.434,38.6,20.95,15.75,24.65,4.05,11.15,23.5,0.79623875,39.3,4.3,6.6,0.1,82.1,0.436,0.194,0.357,0.122,538.5,82.3,0.203,0.078,434.71,5.76,104.4,10.8
Geary,29.8,Kansas,40,7129,57.74,36.04,2.03,4.19,8.9,91.1,19.4,6.9,63.8,26413.47,62.8,17.3,0.95,3.25,5.05,10.65,21.9,9,32156,46.3,11.75,0.392,15.35,30.55,19.7,26.5,0.35,7.7,15.15,0.439352,28.3,3.8,2.9,0.08,73.5,0.312,0.255,0.3,0.081,818.2,137,0.153,0.068,481.29,7.28,74.4,8.8
Merced,30,California,269,42523,43.47,51.4,1.36,3.16,33,67,12.5,4.1,75.9,22347.56,33.45,3.45,0.45,6.95,2.15,53.5,33.25,10.7,249014,33,21.45,0.46,29.3,23.15,17.95,22.2,8.6,10.45,17.6,0.40461825,29.3,4.6,4.2,0.07,50.7,0.355,0.117,0.313,0.08,396.3,82.1,0.221,0.17,590.95,8.66,55.8,6.4
Wheeler,30.1,Georgia,2,2102,67.6,30.73,0,1.67,30.3,69.7,8.6,2.8,65.5,24491.15,59.55,36.95,0.1,0.1,0.4,2.95,33.7,42.8,7120,83.3,24.65,0.395,30.65,25.4,13.6,17.5,4.4,21.5,17.65,0.49203875,36.2,3.3,,0.11,92.7,0.325,,0.316,0.103,340.1,337.3,0.231,0.102,90.58,,70.5,
Lake,31.1,Tennessee,3,1970,68.88,29.29,0.3,0.91,33.9,66.1,5.2,1.5,61.8,15757.46,66.1,30,1,0.2,1.05,1.65,54.95,19,7618,49.2,27.5,0.483,41.1,18.15,30.25,20.55,3.7,7.4,20,0.5274075,38.4,,,0.11,95.5,0.496,0.249,0.329,0.116,707,187,0.159,0.102,343.25,,69,
Monterey,31.2,California,195,96676,27.28,66.96,1.95,3.34,29.3,70.7,23.4,9.2,72.35,25438.38,34.3,2.9,0.3,5.9,2.8,53.75,20.5,7.1,409989,42.2,13.6,0.45,19.35,27.85,19.65,22.15,10.9,8.3,11.25,0.41167025,32.8,3.9,4.6,0.06,53.7,0.325,0.125,0.228,0.069,360.5,181.2,0.238,0.114,491.47,8.28,49.1,5
Mitchell,31.3,Texas,7,2190,81.28,16.12,0.32,2.28,26.6,73.4,9.4,2.1,60.2,25236.42,52.9,10.85,0.35,0.2,0.75,34.95,33.35,18.25,9339,34.7,15.45,0.398,29,28.75,19.5,25.4,0.8,13.9,11.6,0.413836,35.6,,,0.08,80.4,0.33,,0.292,0.095,191,82.5,0.222,0.064,216.31,,81.4,
Yuba,31.4,California,45,21058,58.47,34.35,1.84,4.6,23.1,76.9,12.5,3.1,71.45,24491.46,59.65,2.45,1.55,6.7,5.85,23.75,29.55,7.2,71530,32,18.7,0.418,26.25,27.6,18.6,25.55,2.65,11.55,14.15,0.42097025,31.5,4.3,5.3,0.06,54.4,0.343,0.172,0.305,0.077,338.9,70.5,0.186,0.169,396.28,5.15,83.2,6.1
Glenn,31.5,California,34,9379,61.71,32.68,1.03,4,26.1,73.9,16.2,4.3,73.2,22314.15,56.85,0.7,1.7,2.75,2.05,36.05,31.45,9.95,28006,41.5,17.65,0.436,23.25,24.7,19.7,21.2,10.2,7.9,16.3,0.454667,35.1,,3.1,0.05,49,0.369,0.15,0.268,0.078,256,54.8,0.236,0.147,226.1,,78,
San Joaquin,31.8,California,500,166647,40.99,53.88,1.27,3.48,23.3,76.7,17.5,5.3,76.8,29595.49,37.65,7.05,0.5,13.55,3.65,37.65,22.65,9.8,674973,43.6,15.65,0.437,20.9,28,16.65,25.85,3.9,10.4,15.2,0.30819225,32.3,3.8,4,0.07,44.9,0.34,0.164,0.31,0.095,522.5,217,0.193,0.152,812.49,7.59,61,6.3
Humboldt,32.2,California,127,33636,32.36,58.26,5.35,3.47,9.6,90.4,26.3,8.6,73.65,21835.77,78.15,1,5.15,2.1,4.5,9.05,23.2,6.95,131813,52.8,17.95,0.473,19.85,31.65,21.65,25.5,1.95,9.95,9.25,0.62415075,37.1,4.1,3.9,0.06,26.7,0.396,0.186,0.265,0.084,287.9,128.9,0.204,0.105,377.81,4.21,102.1,6.8
La Paz,32.4,Arizona,11,4931,68.57,26.73,1.12,3.59,23.1,76.9,9,3.3,71.35,21059.85,62.5,0.8,10.25,1.25,1.5,23.7,34.9,6.55,20272,54.1,20,0.437,32.75,24.3,27.1,22,6.65,12.85,7.1,0.4577455,52.5,5.3,5.2,0.06,78.7,0.467,0.185,0.312,0.134,244.9,127.1,0.262,0.092,344.55,6.99,129.4,
Telfair,33.1,Georgia,6,3794,64.55,34.61,0,0.84,31.1,68.9,8.1,3.8,69.2,21749.27,52.5,33.9,0,0.5,0.95,12.1,38.55,30.2,14823,31.5,29.45,0.484,35.2,24.2,21.35,14.45,6.55,11.3,22.1,0.40530225,39.3,4.2,3.6,0.11,72.8,0.54,0.272,0.306,0.121,485.8,281.6,0.23,0.155,253.35,10.91,64.8,
Amador,33.3,California,30,17186,59.58,34.35,1.23,4.52,12.6,87.4,19,5.8,77.4,31615.94,80.1,2.35,1.55,1.1,3.4,11.55,4.7,5.45,38065,56.2,8.45,0.399,8.7,31.9,23.15,23.25,0.75,10.9,10.05,0.65701075,47.2,4,4.2,0.05,21.6,0.27,0.212,0.23,0.098,155.5,114,0.151,0.118,273.69,,93.9,
Sutter,33.4,California,51,30429,55.14,38.88,1.13,4.26,21.6,78.4,18.7,5.6,75.25,25473.4,52.2,1.8,0.85,13.25,4,27.9,22.85,8.35,92734,41.1,13.55,0.424,18.7,28.8,17.1,24.5,5.3,11.55,12.75,0.3698775,34.2,4.3,3.3,0.06,39.6,0.309,0.187,0.259,0.084,260.2,82.4,0.215,0.176,358.38,5.14,59.3,4.6
Curry,33.4,New Mexico,37,11383,66.41,24.39,0.57,7.4,18.5,81.5,18.2,6.9,69.4,21441.33,50.65,6.8,0.8,2.05,1.85,37.8,27.95,14,46681,35.4,19.85,0.444,27.15,26.75,20,23.9,4.4,13.95,11,0.40487675,31.7,4.2,3.8,0.08,91.9,0.373,0.226,0.292,0.088,561.9,84.5,0.217,0.048,545.09,7.63,65.4,5.5
Lincoln,33.5,Arkansas,26,3826,64.17,32.72,0.42,1.25,26.8,73.2,8.6,2.2,64,22538.9,65.1,30.9,0.25,0.1,0.9,2.65,43,21.65,13943,53,25.1,0.483,36.55,24.1,20,20,3.55,13.1,19.25,0.5200725,36.2,5.3,3,0.1,58.2,0.41,0.246,0.329,0.109,542.6,121.3,0.203,0.091,89.43,,67.6,
Coryell,33.6,Texas,9,18127,67.37,27.9,0.88,3.85,12.4,87.6,15.4,4.6,61.05,26074.79,61.55,17.15,0.6,1.65,4.2,14.85,19.6,7.25,74002,43.5,14.05,0.382,20.3,26.3,21.3,24.95,0.65,16.95,9.85,0.432377,29.1,4.8,4.8,0.08,47.7,0.302,0.157,0.295,0.087,450.9,188,0.181,0.086,219.27,2.91,45.4,8.9
Pulaski,33.9,Missouri,9,13443,73.42,21.71,0.79,3.55,11.9,88.1,18.4,6.9,53.7,22607.77,73.85,10.85,0.75,2.7,3.6,8.35,17,13.9,48479,29.3,13.8,0.386,15.05,29.6,23.6,23.5,1.1,9.15,13.05,0.566208,26.6,4.6,3.4,0.07,35.5,0.27,0.23,0.344,0.086,725.9,58.7,0.173,0.082,311.76,3.27,71.8,8.4
Lassen,34,California,53,10422,72.67,21.34,1.01,4.54,20.2,79.8,12.4,3.9,62.15,26596.54,67.5,8.95,2.8,1,3.35,16.45,21.8,7.75,34661,38.9,14,0.422,18.95,30.4,27.2,22.3,1.45,8.9,9.75,0.49270175,37.2,4.2,4.1,0.07,33.5,0.334,0.181,0.256,0.075,184.2,126.2,0.146,0.126,318.86,5.32,80.3,
San Benito,34.1,California,54,17572,36.83,57.19,1.55,3.79,26.2,73.8,18.3,5.1,76.9,29406.43,39.65,0.8,0.5,2.4,2.15,54.5,13.65,7.4,55010,45.8,11.4,0.414,12.9,27.15,15.2,23.9,9.8,10.1,13.9,0.4553645,33.7,3.6,2.6,0.06,34.5,0.268,,0.243,0.074,358.5,74.3,0.193,0.139,395.06,3.41,36.7,4.1
